matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error,timings_ms
deepdetect,finger,FV-USM_genuine_0,080,080,26385,7874,102,54,0.5294,True,0.5294,True,True,2.4128,"{""load_images"": 0.969, ""preprocess"": 1.217, ""masking"": 0.5695, ""cnn_inference_ms"": 53.6636, ""sift_descriptor_ms"": 108.8397, ""matching_ms"": 528.6332, ""match_impl_total"": 739.4543, ""homography"": 2.2581, ""result_creation"": 0.0667}"
loftr,finger,FV-USM_genuine_1,014,014,396,396,396,285,0.7197,True,0.7197,True,True,0.8422,"{""load_images"": 1.0442, ""preprocess"": 0.4027, ""masking"": 0.525, ""inference_ms"": 104.0411, ""match_impl_total"": 110.4492, ""homography"": 1.1825, ""result_creation"": 0.0647}"
orb,finger,FV-USM_genuine_1,014,014,0,0,0,0,,False,,True,False,,"{""load_images"": 1.1632, ""preprocess"": 0.3871, ""masking"": 0.4967, ""feature_extraction_ms"": 1.5043, ""match_impl_total"": 1.5354, ""homography"": 0.0107, ""result_creation"": 0.0296}"
orb-fingervein,finger,FV-USM_genuine_1,014,014,2001,1745,54,30,0.5556,True,0.5391,True,True,2.0998,"{""load_images"": 1.3515, ""preprocess"": 0.5078, ""masking"": 0.5703, ""feature_extraction_ms"": 18.2879, ""matching_ms"": 26.3371, ""match_impl_total"": 44.73, ""homography"": 1.9583, ""result_creation"": 0.0655}"
sift,finger,FV-USM_genuine_1,014,014,15,9,8,6,0.7500,True,0.7097,True,True,0.5199,"{""load_images"": 1.1344, ""preprocess"": 0.4036, ""masking"": 0.4746, ""feature_extraction_ms"": 19.7552, ""matching_ms"": 0.1957, ""match_impl_total"": 20.0631, ""homography"": 0.9079, ""result_creation"": 0.0654}"
sift-fingervein,finger,FV-USM_genuine_1,014,014,539,530,35,18,0.5143,True,0.4941,True,True,2.2724,"{""load_images"": 0.9747, ""preprocess"": 0.3816, ""masking"": 0.4684, ""feature_extraction_ms"": 31.7529, ""matching_ms"": 15.7996, ""match_impl_total"": 47.8388, ""homography"": 2.3879, ""result_creation"": 0.0667}"
superglue,finger,FV-USM_genuine_1,014,014,368,312,235,141,0.6000,True,0.5764,True,True,2.3021,"{""load_images"": 1.0406, ""preprocess"": 0.369, ""masking"": 0.466, ""inference_ms"": 73.6453, ""match_impl_total"": 75.2193, ""homography"": 1.598, ""result_creation"": 0.0666}"
superglue-fingervein,finger,FV-USM_genuine_1,014,014,665,589,396,197,0.4975,True,0.4718,True,True,2.5602,"{""load_images"": 1.0203, ""preprocess"": 0.3795, ""masking"": 0.499, ""inference_ms"": 98.3067, ""match_impl_total"": 100.4387, ""homography"": 2.8801, ""result_creation"": 0.0666}"
sgmnet,finger,FV-USM_genuine_1,014,014,1047,917,378,107,0.2831,False,0.2792,True,False,1.7760,"{""load_images"": 1.0323, ""preprocess"": 0.3811, ""masking"": 0.5058, ""feature_extraction_ms"": 45.8499, ""matching_ms"": 120.6479, ""match_impl_total"": 166.7857, ""homography"": 22.6624, ""result_creation"": 0.0691}"
sgmnet-fingervein,finger,FV-USM_genuine_1,014,014,1047,917,465,74,0.1591,False,0.1568,True,False,1.7950,"{""load_images"": 1.0102, ""preprocess"": 0.3689, ""masking"": 0.5061, ""feature_extraction_ms"": 41.9214, ""matching_ms"": 110.1763, ""match_impl_total"": 152.3171, ""homography"": 53.8728, ""result_creation"": 0.0694}"
aspanformer,finger,FV-USM_genuine_1,014,014,336,336,336,325,0.9673,True,0.9673,True,True,0.5205,"{""load_images"": 1.0282, ""preprocess"": 0.0476, ""masking"": 0.3225, ""inference_ms"": 161.7209, ""match_impl_total"": 162.532, ""homography"": 0.8503, ""result_creation"": 0.0671}"
deepdetect,finger,FV-USM_genuine_1,014,014,26243,26730,45,16,0.3556,True,0.3556,True,True,1.6515,"{""load_images"": 0.9433, ""preprocess"": 1.1204, ""masking"": 0.5694, ""cnn_inference_ms"": 23.4155, ""sift_descriptor_ms"": 165.8123, ""matching_ms"": 859.1807, ""match_impl_total"": 1117.017, ""homography"": 9.1339, ""result_creation"": 0.0668}"
loftr,finger,FV-USM_genuine_2,004,004,95,95,95,35,0.3684,False,0.3684,True,False,1.4906,"{""load_images"": 1.0277, ""preprocess"": 0.3977, ""masking"": 0.5299, ""inference_ms"": 88.3152, ""match_impl_total"": 94.8076, ""homography"": 7.9281, ""result_creation"": 0.0663}"
orb,finger,FV-USM_genuine_2,004,004,0,0,0,0,,False,,True,False,,"{""load_images"": 1.0297, ""preprocess"": 0.3676, ""masking"": 0.5811, ""feature_extraction_ms"": 1.7361, ""match_impl_total"": 1.7656, ""homography"": 0.0107, ""result_creation"": 0.0288}"
orb-fingervein,finger,FV-USM_genuine_2,004,004,879,1319,15,0,,False,,True,False,,"{""load_images"": 1.3988, ""preprocess"": 0.3839, ""masking"": 0.8474, ""feature_extraction_ms"": 11.6942, ""matching_ms"": 10.126, ""match_impl_total"": 21.9135, ""homography"": 3.8097, ""result_creation"": 0.0335}"
sift,finger,FV-USM_genuine_2,004,004,7,6,1,0,,False,,True,False,,"{""load_images"": 1.4103, ""preprocess"": 0.5861, ""masking"": 0.5992, ""feature_extraction_ms"": 24.0003, ""matching_ms"": 0.1145, ""match_impl_total"": 24.2166, ""homography"": 0.0123, ""result_creation"": 0.0313}"
sift-fingervein,finger,FV-USM_genuine_2,004,004,312,435,6,0,,False,,True,False,,"{""load_images"": 0.9983, ""preprocess"": 0.3731, ""masking"": 0.4689, ""feature_extraction_ms"": 29.0585, ""matching_ms"": 11.3314, ""match_impl_total"": 40.7902, ""homography"": 0.7866, ""result_creation"": 0.031}"
superglue,finger,FV-USM_genuine_2,004,004,339,441,14,8,0.5714,True,0.5479,True,True,1.6956,"{""load_images"": 1.0173, ""preprocess"": 0.3679, ""masking"": 0.4697, ""inference_ms"": 70.6247, ""match_impl_total"": 72.5712, ""homography"": 1.8879, ""result_creation"": 0.0663}"
superglue-fingervein,finger,FV-USM_genuine_2,004,004,609,778,171,52,0.3041,True,0.2839,True,True,2.8748,"{""load_images"": 1.0279, ""preprocess"": 0.3698, ""masking"": 0.5016, ""inference_ms"": 105.8166, ""match_impl_total"": 108.2335, ""homography"": 16.2901, ""result_creation"": 0.0653}"
sgmnet,finger,FV-USM_genuine_2,004,004,924,974,36,8,0.2222,False,0.2152,True,False,0.9443,"{""load_images"": 1.0007, ""preprocess"": 0.3695, ""masking"": 0.4765, ""feature_extraction_ms"": 40.5298, ""matching_ms"": 129.8906, ""match_impl_total"": 170.6351, ""homography"": 50.8623, ""result_creation"": 0.0673}"
sgmnet-fingervein,finger,FV-USM_genuine_2,004,004,924,974,131,12,0.0916,False,0.0907,True,False,0.7828,"{""load_images"": 1.0172, ""preprocess"": 0.3788, ""masking"": 0.4786, ""feature_extraction_ms"": 40.737, ""matching_ms"": 112.2987, ""match_impl_total"": 153.2561, ""homography"": 52.7353, ""result_creation"": 0.0829}"
aspanformer,finger,FV-USM_genuine_2,004,004,10,10,10,7,0.7000,True,0.6708,True,True,0.8882,"{""load_images"": 1.1213, ""preprocess"": 0.0536, ""masking"": 0.3672, ""inference_ms"": 156.6704, ""match_impl_total"": 157.503, ""homography"": 1.029, ""result_creation"": 0.0654}"
deepdetect,finger,FV-USM_genuine_2,004,004,20574,24245,19,6,0.3158,True,0.3158,True,True,1.1573,"{""load_images"": 0.9386, ""preprocess"": 1.0613, ""masking"": 0.5734, ""cnn_inference_ms"": 22.3754, ""sift_descriptor_ms"": 141.4439, ""matching_ms"": 709.3209, ""match_impl_total"": 930.0679, ""homography"": 13.9991, ""result_creation"": 0.0648}"
loftr,finger,FV-USM_genuine_3,093,093,306,306,306,188,0.6144,True,0.6078,True,True,1.7145,"{""load_images"": 1.0072, ""preprocess"": 0.4067, ""masking"": 0.5082, ""inference_ms"": 100.1615, ""match_impl_total"": 101.1924, ""homography"": 1.5544, ""result_creation"": 0.065}"
orb,finger,FV-USM_genuine_3,093,093,0,0,0,0,,False,,True,False,,"{""load_images"": 0.987, ""preprocess"": 0.3784, ""masking"": 0.5727, ""feature_extraction_ms"": 1.7373, ""match_impl_total"": 1.7678, ""homography"": 0.0108, ""result_creation"": 0.0308}"
orb-fingervein,finger,FV-USM_genuine_3,093,093,742,510,22,11,0.5000,True,0.4914,True,True,1.5861,"{""load_images"": 1.3002, ""preprocess"": 0.3837, ""masking"": 0.5959, ""feature_extraction_ms"": 8.7618, ""matching_ms"": 4.943, ""match_impl_total"": 13.7799, ""homography"": 2.6572, ""result_creation"": 0.0644}"
sift,finger,FV-USM_genuine_3,093,093,7,3,2,0,,False,,True,False,,"{""load_images"": 1.27, ""preprocess"": 0.4074, ""masking"": 0.5214, ""feature_extraction_ms"": 21.0933, ""matching_ms"": 0.084, ""match_impl_total"": 21.285, ""homography"": 0.0133, ""result_creation"": 0.0337}"
sift-fingervein,finger,FV-USM_genuine_3,093,093,230,233,10,6,0.6000,True,0.5677,True,True,0.8170,"{""load_images"": 1.0323, ""preprocess"": 0.4093, ""masking"": 0.4727, ""feature_extraction_ms"": 27.1074, ""matching_ms"": 6.1776, ""match_impl_total"": 33.4926, ""homography"": 1.4575, ""result_creation"": 0.0652}"
superglue,finger,FV-USM_genuine_3,093,093,431,426,148,58,0.3919,False,0.3664,True,False,2.8454,"{""load_images"": 1.0051, ""preprocess"": 0.3977, ""masking"": 0.5724, ""inference_ms"": 71.5854, ""match_impl_total"": 73.1014, ""homography"": 6.232, ""result_creation"": 0.0649}"
superglue-fingervein,finger,FV-USM_genuine_3,093,093,748,786,329,137,0.4164,True,0.3896,True,True,2.8286,"{""load_images"": 0.9661, ""preprocess"": 0.4643, ""masking"": 0.6023, ""inference_ms"": 113.4708, ""match_impl_total"": 114.9444, ""homography"": 5.454, ""result_creation"": 0.0671}"
sgmnet,finger,FV-USM_genuine_3,093,093,786,758,174,38,0.2184,False,0.2151,True,False,1.8015,"{""load_images"": 1.1162, ""preprocess"": 0.3796, ""masking"": 0.645, ""feature_extraction_ms"": 37.2344, ""matching_ms"": 108.179, ""match_impl_total"": 145.6266, ""homography"": 51.4388, ""result_creation"": 0.0708}"
sgmnet-fingervein,finger,FV-USM_genuine_3,093,093,786,758,333,41,0.1231,False,0.1225,True,False,1.6047,"{""load_images"": 1.1456, ""preprocess"": 0.372, ""masking"": 0.5164, ""feature_extraction_ms"": 37.1043, ""matching_ms"": 103.7808, ""match_impl_total"": 141.102, ""homography"": 52.4109, ""result_creation"": 0.0674}"
aspanformer,finger,FV-USM_genuine_3,093,093,248,248,248,236,0.9516,True,0.9516,True,True,0.5829,"{""load_images"": 1.0021, ""preprocess"": 0.0482, ""masking"": 0.3554, ""inference_ms"": 174.7515, ""match_impl_total"": 175.6315, ""homography"": 0.8117, ""result_creation"": 0.0685}"
deepdetect,finger,FV-USM_genuine_3,093,093,14987,16810,32,16,0.5000,True,0.5000,True,True,1.5041,"{""load_images"": 0.9484, ""preprocess"": 1.0977, ""masking"": 0.6924, ""cnn_inference_ms"": 25.0487, ""sift_descriptor_ms"": 102.503, ""matching_ms"": 496.8395, ""match_impl_total"": 665.5596, ""homography"": 2.6068, ""result_creation"": 0.0651}"
loftr,finger,FV-USM_genuine_4,035,035,245,245,245,178,0.7265,True,0.7265,True,True,0.3186,"{""load_images"": 1.175, ""preprocess"": 0.4794, ""masking"": 0.6238, ""inference_ms"": 301.5241, ""match_impl_total"": 302.9986, ""homography"": 1.0109, ""result_creation"": 0.077}"
orb,finger,FV-USM_genuine_4,035,035,0,0,0,0,,False,,True,False,,"{""load_images"": 1.013, ""preprocess"": 0.3715, ""masking"": 0.511, ""feature_extraction_ms"": 1.7785, ""match_impl_total"": 1.8089, ""homography"": 0.0113, ""result_creation"": 0.0297}"
orb-fingervein,finger,FV-USM_genuine_4,035,035,1315,854,40,0,,False,,True,False,,"{""load_images"": 1.2354, ""preprocess"": 0.3865, ""masking"": 1.3116, ""feature_extraction_ms"": 11.9657, ""matching_ms"": 12.3685, ""match_impl_total"": 24.4512, ""homography"": 3.0158, ""result_creation"": 0.0309}"
sift,finger,FV-USM_genuine_4,035,035,12,12,4,4,1.0000,True,0.9165,True,True,0.0000,"{""load_images"": 1.0107, ""preprocess"": 0.3716, ""masking"": 0.4622, ""feature_extraction_ms"": 21.3122, ""matching_ms"": 0.2191, ""match_impl_total"": 21.6365, ""homography"": 0.3375, ""result_creation"": 0.0653}"
sift-fingervein,finger,FV-USM_genuine_4,035,035,292,277,23,9,0.3913,False,0.3820,True,False,1.4777,"{""load_images"": 1.054, ""preprocess"": 0.4851, ""masking"": 0.7794, ""feature_extraction_ms"": 26.5301, ""matching_ms"": 9.1318, ""match_impl_total"": 35.955, ""homography"": 6.049, ""result_creation"": 0.0648}"
superglue,finger,FV-USM_genuine_4,035,035,346,306,237,114,0.4810,True,0.4657,True,True,2.1477,"{""load_images"": 1.014, ""preprocess"": 0.3669, ""masking"": 0.4673, ""inference_ms"": 130.4745, ""match_impl_total"": 132.2312, ""homography"": 3.2844, ""result_creation"": 0.0643}"
superglue-fingervein,finger,FV-USM_genuine_4,035,035,641,604,358,233,0.6508,True,0.6290,True,True,2.1840,"{""load_images"": 1.044, ""preprocess"": 0.3714, ""masking"": 0.4764, ""inference_ms"": 257.094, ""match_impl_total"": 259.6116, ""homography"": 1.3325, ""result_creation"": 0.0636}"
sgmnet,finger,FV-USM_genuine_4,035,035,783,782,309,92,0.2977,False,0.2936,True,False,1.7822,"{""load_images"": 1.0239, ""preprocess"": 0.5163, ""masking"": 0.4927, ""feature_extraction_ms"": 37.1104, ""matching_ms"": 169.7325, ""match_impl_total"": 207.0617, ""homography"": 18.103, ""result_creation"": 0.0699}"
sgmnet-fingervein,finger,FV-USM_genuine_4,035,035,783,782,350,71,0.2029,True,0.2015,True,True,1.6321,"{""load_images"": 1.0381, ""preprocess"": 0.3809, ""masking"": 0.5629, ""feature_extraction_ms"": 41.3978, ""matching_ms"": 185.5653, ""match_impl_total"": 227.1794, ""homography"": 52.2477, ""result_creation"": 0.0676}"
aspanformer,finger,FV-USM_genuine_4,035,035,307,307,307,306,0.9967,True,0.9967,True,True,0.4763,"{""load_images"": 0.9861, ""preprocess"": 0.0471, ""masking"": 0.3234, ""inference_ms"": 267.7768, ""match_impl_total"": 268.7669, ""homography"": 1.098, ""result_creation"": 0.0674}"
deepdetect,finger,FV-USM_genuine_4,035,035,24892,14145,56,29,0.5179,True,0.5179,True,True,1.3650,"{""load_images"": 0.971, ""preprocess"": 1.0578, ""masking"": 0.4821, ""cnn_inference_ms"": 41.8953, ""sift_descriptor_ms"": 120.6185, ""matching_ms"": 595.4629, ""match_impl_total"": 808.2611, ""homography"": 2.752, ""result_creation"": 0.0713}"
loftr,finger,FV-USM_impostor_0,106,051,72,72,72,20,0.2778,False,0.2718,False,True,1.9187,"{""load_images"": 1.2215, ""preprocess"": 0.3994, ""masking"": 0.6152, ""inference_ms"": 249.447, ""match_impl_total"": 250.7885, ""homography"": 22.7282, ""result_creation"": 0.0617}"
orb,finger,FV-USM_impostor_0,106,051,1,0,0,0,,False,,False,True,,"{""load_images"": 1.0035, ""preprocess"": 0.3702, ""masking"": 0.5476, ""feature_extraction_ms"": 2.1334, ""match_impl_total"": 2.1669, ""homography"": 0.0106, ""result_creation"": 0.0293}"
orb-fingervein,finger,FV-USM_impostor_0,106,051,2812,1737,39,0,,False,,False,True,,"{""load_images"": 1.2464, ""preprocess"": 0.3872, ""masking"": 0.705, ""feature_extraction_ms"": 17.334, ""matching_ms"": 35.7214, ""match_impl_total"": 53.1653, ""homography"": 32.9111, ""result_creation"": 0.0329}"
sift,finger,FV-USM_impostor_0,106,051,18,6,0,0,,False,,False,True,,"{""load_images"": 1.3113, ""preprocess"": 0.4907, ""masking"": 0.6772, ""feature_extraction_ms"": 26.8815, ""matching_ms"": 0.1679, ""match_impl_total"": 27.1571, ""homography"": 0.0113, ""result_creation"": 0.0304}"
sift-fingervein,finger,FV-USM_impostor_0,106,051,601,526,4,4,1.0000,True,0.9165,False,False,0.0000,"{""load_images"": 1.4832, ""preprocess"": 0.4929, ""masking"": 0.7048, ""feature_extraction_ms"": 43.665, ""matching_ms"": 16.3565, ""match_impl_total"": 60.647, ""homography"": 0.3133, ""result_creation"": 0.0646}"
superglue,finger,FV-USM_impostor_0,106,051,392,367,2,0,,False,,False,True,,"{""load_images"": 1.1662, ""preprocess"": 0.4621, ""masking"": 0.6154, ""inference_ms"": 142.1338, ""match_impl_total"": 144.5219, ""homography"": 0.0128, ""result_creation"": 0.0282}"
superglue-fingervein,finger,FV-USM_impostor_0,106,051,747,639,22,8,0.3636,True,0.3459,False,False,1.8540,"{""load_images"": 1.2736, ""preprocess"": 0.4764, ""masking"": 0.796, ""inference_ms"": 307.5323, ""match_impl_total"": 310.1675, ""homography"": 8.0235, ""result_creation"": 0.064}"
sgmnet,finger,FV-USM_impostor_0,106,051,994,932,11,5,0.4545,True,0.4237,False,False,0.2780,"{""load_images"": 1.025, ""preprocess"": 0.5311, ""masking"": 0.7004, ""feature_extraction_ms"": 49.4689, ""matching_ms"": 215.6173, ""match_impl_total"": 265.305, ""homography"": 3.4502, ""result_creation"": 0.0673}"
sgmnet-fingervein,finger,FV-USM_impostor_0,106,051,994,932,62,7,0.1129,False,0.1082,False,True,0.9310,"{""load_images"": 1.0135, ""preprocess"": 0.3847, ""masking"": 0.4921, ""feature_extraction_ms"": 41.4236, ""matching_ms"": 229.4714, ""match_impl_total"": 271.1107, ""homography"": 50.747, ""result_creation"": 0.0697}"
aspanformer,finger,FV-USM_impostor_0,106,051,23,23,23,13,0.5652,True,0.5557,False,False,1.6997,"{""load_images"": 1.0941, ""preprocess"": 0.0494, ""masking"": 0.3847, ""inference_ms"": 219.2876, ""match_impl_total"": 220.1133, ""homography"": 1.9052, ""result_creation"": 0.0684}"
deepdetect,finger,FV-USM_impostor_0,106,051,26594,9413,34,11,0.3235,True,0.3235,False,False,1.6729,"{""load_images"": 0.9331, ""preprocess"": 1.064, ""masking"": 0.4942, ""cnn_inference_ms"": 41.6774, ""sift_descriptor_ms"": 113.8172, ""matching_ms"": 547.4389, ""match_impl_total"": 750.4924, ""homography"": 12.8184, ""result_creation"": 0.0653}"
loftr,finger,FV-USM_impostor_1,043,070,10,10,10,0,,False,,False,True,,"{""load_images"": 1.051, ""preprocess"": 0.3971, ""masking"": 0.4985, ""inference_ms"": 227.6676, ""match_impl_total"": 228.9178, ""homography"": 2.4892, ""result_creation"": 0.0284}"
orb,finger,FV-USM_impostor_1,043,070,0,0,0,0,,False,,False,True,,"{""load_images"": 1.0192, ""preprocess"": 0.3762, ""masking"": 0.4813, ""feature_extraction_ms"": 1.5025, ""match_impl_total"": 1.5317, ""homography"": 0.0105, ""result_creation"": 0.0288}"
orb-fingervein,finger,FV-USM_impostor_1,043,070,1372,623,18,0,,False,,False,True,,"{""load_images"": 1.3888, ""preprocess"": 0.4829, ""masking"": 0.5962, ""feature_extraction_ms"": 11.8931, ""matching_ms"": 9.3948, ""match_impl_total"": 21.3714, ""homography"": 26.1563, ""result_creation"": 0.0318}"
sift,finger,FV-USM_impostor_1,043,070,9,4,2,0,,False,,False,True,,"{""load_images"": 0.9506, ""preprocess"": 0.3783, ""masking"": 0.5086, ""feature_extraction_ms"": 19.9396, ""matching_ms"": 0.0966, ""match_impl_total"": 20.1424, ""homography"": 0.0117, ""result_creation"": 0.0312}"
sift-fingervein,finger,FV-USM_impostor_1,043,070,381,300,5,0,,False,,False,True,,"{""load_images"": 1.0018, ""preprocess"": 0.3726, ""masking"": 0.4674, ""feature_extraction_ms"": 28.4017, ""matching_ms"": 10.3968, ""match_impl_total"": 39.0261, ""homography"": 1.8161, ""result_creation"": 0.0315}"
superglue,finger,FV-USM_impostor_1,043,070,391,396,2,0,,False,,False,True,,"{""load_images"": 1.0675, ""preprocess"": 0.3844, ""masking"": 0.4613, ""inference_ms"": 141.4531, ""match_impl_total"": 143.2281, ""homography"": 0.0131, ""result_creation"": 0.0283}"
superglue-fingervein,finger,FV-USM_impostor_1,043,070,727,704,6,0,,False,,False,True,,"{""load_images"": 1.0068, ""preprocess"": 0.3783, ""masking"": 0.462, ""inference_ms"": 322.2951, ""match_impl_total"": 324.0731, ""homography"": 0.8428, ""result_creation"": 0.0287}"
sgmnet,finger,FV-USM_impostor_1,043,070,858,866,31,9,0.2903,False,0.2834,False,True,0.9147,"{""load_images"": 1.0725, ""preprocess"": 0.3807, ""masking"": 0.4545, ""feature_extraction_ms"": 38.9415, ""matching_ms"": 180.5724, ""match_impl_total"": 219.7268, ""homography"": 19.1819, ""result_creation"": 0.0679}"
sgmnet-fingervein,finger,FV-USM_impostor_1,043,070,858,866,42,6,0.1429,False,0.1352,False,True,0.8603,"{""load_images"": 1.001, ""preprocess"": 0.3669, ""masking"": 0.564, ""feature_extraction_ms"": 42.8049, ""matching_ms"": 195.2903, ""match_impl_total"": 238.3099, ""homography"": 55.9813, ""result_creation"": 0.0692}"
aspanformer,finger,FV-USM_impostor_1,043,070,3,3,3,0,,False,,False,True,,"{""load_images"": 1.1121, ""preprocess"": 0.0493, ""masking"": 0.3479, ""inference_ms"": 216.9897, ""match_impl_total"": 217.9019, ""homography"": 0.0128, ""result_creation"": 0.0285}"
deepdetect,finger,FV-USM_impostor_1,043,070,26451,11364,32,0,,False,,False,True,,"{""load_images"": 0.9507, ""preprocess"": 1.0601, ""masking"": 0.4771, ""cnn_inference_ms"": 39.2557, ""sift_descriptor_ms"": 118.2932, ""matching_ms"": 571.7105, ""match_impl_total"": 778.1591, ""homography"": 3.1786, ""result_creation"": 0.0385}"
loftr,finger,FV-USM_impostor_2,122,015,100,100,100,23,0.2300,False,0.2239,False,True,2.0359,"{""load_images"": 1.088, ""preprocess"": 0.3917, ""masking"": 0.5267, ""inference_ms"": 256.9317, ""match_impl_total"": 258.3766, ""homography"": 48.1178, ""result_creation"": 0.0638}"
orb,finger,FV-USM_impostor_2,122,015,221,0,0,0,,False,,False,True,,"{""load_images"": 1.0144, ""preprocess"": 0.3688, ""masking"": 0.5031, ""feature_extraction_ms"": 2.7449, ""match_impl_total"": 2.776, ""homography"": 0.0106, ""result_creation"": 0.0295}"
orb-fingervein,finger,FV-USM_impostor_2,122,015,4883,1980,30,7,0.2333,False,0.2236,False,True,1.0783,"{""load_images"": 1.2849, ""preprocess"": 0.3824, ""masking"": 0.721, ""feature_extraction_ms"": 26.3158, ""matching_ms"": 52.3968, ""match_impl_total"": 78.8063, ""homography"": 47.0366, ""result_creation"": 0.1348}"
sift,finger,FV-USM_impostor_2,122,015,196,11,0,0,,False,,False,True,,"{""load_images"": 1.0292, ""preprocess"": 0.368, ""masking"": 0.5112, ""feature_extraction_ms"": 25.9961, ""matching_ms"": 1.1722, ""match_impl_total"": 27.3124, ""homography"": 0.0114, ""result_creation"": 0.0298}"
sift-fingervein,finger,FV-USM_impostor_2,122,015,2008,622,7,4,0.5714,True,0.5237,False,False,0.0000,"{""load_images"": 1.1462, ""preprocess"": 0.3723, ""masking"": 0.5072, ""feature_extraction_ms"": 54.6052, ""matching_ms"": 38.2905, ""match_impl_total"": 93.618, ""homography"": 1.5431, ""result_creation"": 0.0659}"
superglue,finger,FV-USM_impostor_2,122,015,223,363,2,0,,False,,False,True,,"{""load_images"": 1.1873, ""preprocess"": 0.5209, ""masking"": 0.6283, ""inference_ms"": 117.9357, ""match_impl_total"": 126.1697, ""homography"": 0.0123, ""result_creation"": 0.0292}"
superglue-fingervein,finger,FV-USM_impostor_2,122,015,428,692,25,7,0.2800,True,0.2683,False,False,1.0238,"{""load_images"": 1.2022, ""preprocess"": 0.4531, ""masking"": 0.7957, ""inference_ms"": 215.7871, ""match_impl_total"": 218.5795, ""homography"": 21.902, ""result_creation"": 0.0666}"
sgmnet,finger,FV-USM_impostor_2,122,015,2049,1065,10,6,0.6000,True,0.5677,False,False,0.5831,"{""load_images"": 1.2174, ""preprocess"": 0.5644, ""masking"": 0.7621, ""feature_extraction_ms"": 56.9979, ""matching_ms"": 388.3246, ""match_impl_total"": 445.5433, ""homography"": 1.6581, ""result_creation"": 0.0665}"
