matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,ranking_strategy,samples_per_gallery,aggregation_method,top_5_identities
deepdetect,16,AMF-Iris::wathah::0::Left,wathah,1,True,50,cascade,multiple,mean,wathah;ameina;daood;omar;rafa
loftr,20,AMF-Iris::daood::4::Left,daood,1,True,50,cascade,multiple,mean,daood;aadil;ahmed;zaid;asmaa
orb-fingervein,20,AMF-Iris::daood::4::Left,daood,1,True,50,cascade,multiple,mean,daood;zafer;aadil;ali;saadi
orb,20,AMF-Iris::daood::4::Left,daood,3,False,50,cascade,multiple,mean,azam;khaleel;daood;saadi;ameina
sift-fingervein,20,AMF-Iris::daood::4::Left,daood,1,True,50,cascade,multiple,mean,daood;khaleel;aadil;zafer;abas
sift,20,AMF-Iris::daood::4::Left,daood,1,True,50,cascade,multiple,mean,daood;azam;saadi;ameina;abas
superglue-fingervein,20,AMF-Iris::daood::4::Left,daood,1,True,50,cascade,multiple,mean,daood;ali;azam;ahmed;zaid
superglue,20,AMF-Iris::daood::4::Left,daood,9,False,50,cascade,multiple,mean,abas;asmaa;saadi;ali;aadil
sgmnet-fingervein,20,AMF-Iris::daood::4::Left,daood,1,True,50,cascade,multiple,mean,daood;ameina;abas;saadi;zafer
sgmnet,20,AMF-Iris::daood::4::Left,daood,1,True,50,cascade,multiple,mean,daood;abas;asmaa;ameina;ali
aspanformer,20,AMF-Iris::daood::4::Left,daood,1,True,50,cascade,multiple,mean,daood;ahmed;kamal;azam;asmaa
deepdetect,20,AMF-Iris::daood::4::Left,daood,1,True,50,cascade,multiple,mean,daood;azam;zafer;ayad;aadil
loftr,24,AMF-Iris::basam::4::Left,basam,1,True,50,cascade,multiple,mean,basam;wathah;abas;ahmed;assem
orb-fingervein,24,AMF-Iris::basam::4::Left,basam,1,True,50,cascade,multiple,mean,basam;ameina;khalid;fars;anas
orb,24,AMF-Iris::basam::4::Left,basam,5,False,50,cascade,multiple,mean,saadi;ameina;abas;wathah;basam
sift-fingervein,24,AMF-Iris::basam::4::Left,basam,1,True,50,cascade,multiple,mean,basam;zakaria;yaseen;khalid;ameina
sift,24,AMF-Iris::basam::4::Left,basam,1,True,50,cascade,multiple,mean,basam;assem;ahmed;anas;khalid
superglue-fingervein,24,AMF-Iris::basam::4::Left,basam,1,True,50,cascade,multiple,mean,basam;khalid;ahmed;wathah;saadi
superglue,24,AMF-Iris::basam::4::Left,basam,2,False,50,cascade,multiple,mean,fars;basam;rafa;khalid;assem
sgmnet-fingervein,24,AMF-Iris::basam::4::Left,basam,1,True,50,cascade,multiple,mean,basam;fuaad;saadi;abas;wathah
sgmnet,24,AMF-Iris::basam::4::Left,basam,1,True,50,cascade,multiple,mean,basam;fuaad;saadi;wathah;zakaria
aspanformer,24,AMF-Iris::basam::4::Left,basam,1,True,50,cascade,multiple,mean,basam;ahmed;ameina;rafa;fuaad
deepdetect,24,AMF-Iris::basam::4::Left,basam,1,True,50,cascade,multiple,mean,basam;rafa;khalid;yaseen;ameina
loftr,28,AMF-Iris::aziz::0::Left,aziz,1,True,50,cascade,multiple,mean,aziz;anas;abas;zafer;wathah
orb-fingervein,28,AMF-Iris::aziz::0::Left,aziz,1,True,50,cascade,multiple,mean,aziz;anas;ameina;saadi;salam
orb,28,AMF-Iris::aziz::0::Left,aziz,1,True,50,cascade,multiple,mean,aziz;saadi;ameina;abas;wathah
sift-fingervein,28,AMF-Iris::aziz::0::Left,aziz,1,True,50,cascade,multiple,mean,aziz;kareem;ameina;anas;saadi
sift,28,AMF-Iris::aziz::0::Left,aziz,1,True,50,cascade,multiple,mean,aziz;daood;mohamad;azam;basam
superglue-fingervein,28,AMF-Iris::aziz::0::Left,aziz,1,True,50,cascade,multiple,mean,aziz;salam;abas;mohamad;asmaa
superglue,28,AMF-Iris::aziz::0::Left,aziz,5,False,50,cascade,multiple,mean,saadi;basam;abas;zafer;aziz
sgmnet-fingervein,28,AMF-Iris::aziz::0::Left,aziz,1,True,50,cascade,multiple,mean,aziz;arwa;saadi;abas;kareem
sgmnet,28,AMF-Iris::aziz::0::Left,aziz,1,True,50,cascade,multiple,mean,aziz;arwa;abas;asmaa;salam
aspanformer,28,AMF-Iris::aziz::0::Left,aziz,1,True,50,cascade,multiple,mean,aziz;anas;arwa;mohamad;saadi
deepdetect,28,AMF-Iris::aziz::0::Left,aziz,3,False,50,cascade,multiple,mean,kareem;mohamad;aziz;basam;wathah
loftr,32,AMF-Iris::anas::2::Left,anas,1,True,50,cascade,multiple,mean,anas;abas;tabarak;maria;omar
orb-fingervein,32,AMF-Iris::anas::2::Left,anas,1,True,50,cascade,multiple,mean,anas;tabarak;asmaa;abas;zafer
orb,32,AMF-Iris::anas::2::Left,anas,1,True,50,cascade,multiple,mean,anas;khalid;rafa;elaf;saadi
sift-fingervein,32,AMF-Iris::anas::2::Left,anas,1,True,50,cascade,multiple,mean,anas;abas;khalid;zafer;zaid
sift,32,AMF-Iris::anas::2::Left,anas,1,True,50,cascade,multiple,mean,anas;rafa;ameina;saadi;abas
superglue-fingervein,32,AMF-Iris::anas::2::Left,anas,1,True,50,cascade,multiple,mean,anas;abas;yaseen;tabarak;zafer
superglue,32,AMF-Iris::anas::2::Left,anas,7,False,50,cascade,multiple,mean,saadi;zaid;asmaa;abas;maria
sgmnet-fingervein,32,AMF-Iris::anas::2::Left,anas,1,True,50,cascade,multiple,mean,anas;saadi;fuaad;abas;maria
sgmnet,32,AMF-Iris::anas::2::Left,anas,1,True,50,cascade,multiple,mean,anas;saadi;maria;fuaad;elaf
aspanformer,32,AMF-Iris::anas::2::Left,anas,1,True,50,cascade,multiple,mean,anas;yaseen;saadi;zaid;tabarak
deepdetect,32,AMF-Iris::anas::2::Left,anas,4,False,50,cascade,multiple,mean,ameina;elaf;zafer;anas;abas
loftr,36,AMF-Iris::ameer::4::Left,ameer,1,True,50,cascade,multiple,mean,ameer;aadil;khaleel;omar;assem
orb-fingervein,36,AMF-Iris::ameer::4::Left,ameer,1,True,50,cascade,multiple,mean,ameer;kareem;khaleel;maria;saadi
orb,36,AMF-Iris::ameer::4::Left,ameer,1,True,50,cascade,multiple,mean,ameer;saadi;basam;rafa;khaleel
sift-fingervein,36,AMF-Iris::ameer::4::Left,ameer,1,True,50,cascade,multiple,mean,ameer;aadil;maria;basam;arwa
sift,36,AMF-Iris::ameer::4::Left,ameer,1,True,50,cascade,multiple,mean,ameer;assem;saadi;basam;rafa
superglue-fingervein,36,AMF-Iris::ameer::4::Left,ameer,1,True,50,cascade,multiple,mean,ameer;saadi;aadil;omar;assem
superglue,36,AMF-Iris::ameer::4::Left,ameer,1,True,50,cascade,multiple,mean,ameer;tabarak;mazin;kareem;rafa
sgmnet-fingervein,36,AMF-Iris::ameer::4::Left,ameer,1,True,50,cascade,multiple,mean,ameer;arwa;kareem;basam;rafa
sgmnet,36,AMF-Iris::ameer::4::Left,ameer,1,True,50,cascade,multiple,mean,ameer;arwa;omar;saadi;tabarak
aspanformer,36,AMF-Iris::ameer::4::Left,ameer,1,True,50,cascade,multiple,mean,ameer;wisam;khaleel;assem;basam
deepdetect,36,AMF-Iris::ameer::4::Left,ameer,1,True,50,cascade,multiple,mean,ameer;aadil;tabarak;rafa;rasha
loftr,40,AMF-Iris::sirag::0::Left,sirag,1,True,50,cascade,multiple,mean,sirag;daood;ahmed;muhand;israa
orb-fingervein,40,AMF-Iris::sirag::0::Left,sirag,1,True,50,cascade,multiple,mean,sirag;ameina;daood;tabarak;ahmed
orb,40,AMF-Iris::sirag::0::Left,sirag,1,True,50,cascade,multiple,mean,sirag;saadi;ameina;abas;wathah
sift-fingervein,40,AMF-Iris::sirag::0::Left,sirag,1,True,50,cascade,multiple,mean,sirag;elaf;ali;tabarak;wathah
sift,40,AMF-Iris::sirag::0::Left,sirag,3,False,50,cascade,multiple,mean,muhand;elaf;sirag;saadi;ameina
superglue-fingervein,40,AMF-Iris::sirag::0::Left,sirag,1,True,50,cascade,multiple,mean,sirag;daood;israa;elaf;ahmed
superglue,40,AMF-Iris::sirag::0::Left,sirag,6,False,50,cascade,multiple,mean,abas;arwa;daood;elaf;ali
sgmnet-fingervein,40,AMF-Iris::sirag::0::Left,sirag,1,True,50,cascade,multiple,mean,sirag;ali;arwa;ameina;abas
sgmnet,40,AMF-Iris::sirag::0::Left,sirag,2,False,50,cascade,multiple,mean,baydaa;sirag;arwa;ali;abas
aspanformer,40,AMF-Iris::sirag::0::Left,sirag,1,True,50,cascade,multiple,mean,sirag;daood;elaf;ahmed;muhand
deepdetect,40,AMF-Iris::sirag::0::Left,sirag,6,False,50,cascade,multiple,mean,abas;ahmed;ameina;muhand;elaf
loftr,44,AMF-Iris::mohamad::6::Left,mohamad,1,True,50,cascade,multiple,mean,mohamad;rafa;aziz;zakaria;salam
orb-fingervein,44,AMF-Iris::mohamad::6::Left,mohamad,1,True,50,cascade,multiple,mean,mohamad;rafa;zafer;saadi;azam
orb,44,AMF-Iris::mohamad::6::Left,mohamad,1,True,50,cascade,multiple,mean,mohamad;aziz;zakaria;abas;basam
sift-fingervein,44,AMF-Iris::mohamad::6::Left,mohamad,1,True,50,cascade,multiple,mean,mohamad;zakaria;basam;abas;azam
sift,44,AMF-Iris::mohamad::6::Left,mohamad,1,True,50,cascade,multiple,mean,mohamad;zakaria;aziz;anas;huda
superglue-fingervein,44,AMF-Iris::mohamad::6::Left,mohamad,1,True,50,cascade,multiple,mean,mohamad;azam;wathah;saadi;abas
superglue,44,AMF-Iris::mohamad::6::Left,mohamad,5,False,50,cascade,multiple,mean,azam;salam;daood;zafer;mohamad
sgmnet-fingervein,44,AMF-Iris::mohamad::6::Left,mohamad,1,True,50,cascade,multiple,mean,mohamad;daood;saadi;wathah;basam
sgmnet,44,AMF-Iris::mohamad::6::Left,mohamad,1,True,50,cascade,multiple,mean,mohamad;zakaria;daood;saadi;zafer
aspanformer,44,AMF-Iris::mohamad::6::Left,mohamad,1,True,50,cascade,multiple,mean,mohamad;saadi;daood;abas;wathah
deepdetect,44,AMF-Iris::mohamad::6::Left,mohamad,1,True,50,cascade,multiple,mean,mohamad;zafer;ameina;daood;anas
loftr,48,AMF-Iris::ali::4::Left,ali,1,True,50,cascade,multiple,mean,ali;wathah;assem;abas;zakaria
orb-fingervein,48,AMF-Iris::ali::4::Left,ali,1,True,50,cascade,multiple,mean,ali;omar;rafa;abeer;azam
orb,48,AMF-Iris::ali::4::Left,ali,7,False,50,cascade,multiple,mean,ameina;zakaria;saadi;abas;wathah
sift-fingervein,48,AMF-Iris::ali::4::Left,ali,3,False,50,cascade,multiple,mean,baydaa;omar;ali;loai;rafa
sift,48,AMF-Iris::ali::4::Left,ali,1,True,50,cascade,multiple,mean,ali;saadi;ameina;abas;wathah
superglue-fingervein,48,AMF-Iris::ali::4::Left,ali,1,True,50,cascade,multiple,mean,ali;mazin;rafa;wathah;abeer
superglue,48,AMF-Iris::ali::4::Left,ali,10,False,50,cascade,multiple,mean,daood;abas;rafa;wathah;abeer
sgmnet-fingervein,48,AMF-Iris::ali::4::Left,ali,1,True,50,cascade,multiple,mean,ali;mazin;abeer;baydaa;saadi
sgmnet,48,AMF-Iris::ali::4::Left,ali,5,False,50,cascade,multiple,mean,assem;abeer;baydaa;ameina;ali
aspanformer,48,AMF-Iris::ali::4::Left,ali,2,False,50,cascade,multiple,mean,saadi;ali;wathah;zakaria;abas
deepdetect,48,AMF-Iris::ali::4::Left,ali,7,False,50,cascade,multiple,mean,abas;mazin;azam;rafa;ameina
loftr,52,AMF-Iris::rafa::8::Left,rafa,1,True,50,cascade,multiple,mean,rafa;aadil;maria;mazin;huda
orb-fingervein,52,AMF-Iris::rafa::8::Left,rafa,1,True,50,cascade,multiple,mean,rafa;saldar;adnan;aziz;mazin
orb,52,AMF-Iris::rafa::8::Left,rafa,1,True,50,cascade,multiple,mean,rafa;aziz;rasha;saldar;daood
sift-fingervein,52,AMF-Iris::rafa::8::Left,rafa,1,True,50,cascade,multiple,mean,rafa;baydaa;adnan;basam;saldar
sift,52,AMF-Iris::rafa::8::Left,rafa,2,False,50,cascade,multiple,mean,khaleel;rafa;adnan;huda;maria
superglue-fingervein,52,AMF-Iris::rafa::8::Left,rafa,1,True,50,cascade,multiple,mean,rafa;aadil;baydaa;khaleel;maria
superglue,52,AMF-Iris::rafa::8::Left,rafa,3,False,50,cascade,multiple,mean,daood;mazin;rafa;asmaa;huda
sgmnet-fingervein,52,AMF-Iris::rafa::8::Left,rafa,1,True,50,cascade,multiple,mean,rafa;rasha;aadil;aziz;basam
sgmnet,52,AMF-Iris::rafa::8::Left,rafa,1,True,50,cascade,multiple,mean,rafa;asmaa;rasha;adnan;basam
aspanformer,52,AMF-Iris::rafa::8::Left,rafa,1,True,50,cascade,multiple,mean,rafa;baydaa;aadil;daood;maria
deepdetect,52,AMF-Iris::rafa::8::Left,rafa,1,True,50,cascade,multiple,mean,rafa;huda;daood;omar;adnan
loftr,56,AMF-Iris::khaleel::8::Left,khaleel,1,True,50,cascade,multiple,mean,khaleel;baydaa;mohamad;fuaad;azam
orb-fingervein,56,AMF-Iris::khaleel::8::Left,khaleel,1,True,50,cascade,multiple,mean,khaleel;rasha;fuaad;muhand;salam
orb,56,AMF-Iris::khaleel::8::Left,khaleel,2,False,50,cascade,multiple,mean,israa;khaleel;daood;mohamad;azam
sift-fingervein,56,AMF-Iris::khaleel::8::Left,khaleel,1,True,50,cascade,multiple,mean,khaleel;baydaa;taha;wisam;daood
sift,56,AMF-Iris::khaleel::8::Left,khaleel,2,False,50,cascade,multiple,mean,muhand;khaleel;mohamad;kamal;daood
superglue-fingervein,56,AMF-Iris::khaleel::8::Left,khaleel,1,True,50,cascade,multiple,mean,khaleel;ayad;zafer;israa;daood
superglue,56,AMF-Iris::khaleel::8::Left,khaleel,3,False,50,cascade,multiple,mean,taha;wisam;khaleel;zafer;azam
sgmnet-fingervein,56,AMF-Iris::khaleel::8::Left,khaleel,1,True,50,cascade,multiple,mean,khaleel;rasha;baydaa;daood;mohamad
sgmnet,56,AMF-Iris::khaleel::8::Left,khaleel,1,True,50,cascade,multiple,mean,khaleel;zafer;baydaa;fuaad;israa
aspanformer,56,AMF-Iris::khaleel::8::Left,khaleel,1,True,50,cascade,multiple,mean,khaleel;kamal;taha;israa;azam
deepdetect,56,AMF-Iris::khaleel::8::Left,khaleel,1,True,50,cascade,multiple,mean,khaleel;israa;ayad;mohamad;rasha
loftr,60,AMF-Iris::abeer::6::Left,abeer,1,True,50,cascade,multiple,mean,abeer;aadil;wathah;basam;israa
orb-fingervein,60,AMF-Iris::abeer::6::Left,abeer,1,True,50,cascade,multiple,mean,abeer;ameina;basam;daood;wathah
orb,60,AMF-Iris::abeer::6::Left,abeer,1,True,50,cascade,multiple,mean,abeer;zakaria;aadil;saadi;ameina
sift-fingervein,60,AMF-Iris::abeer::6::Left,abeer,1,True,50,cascade,multiple,mean,abeer;arwa;adnan;israa;saadi
sift,60,AMF-Iris::abeer::6::Left,abeer,8,False,50,cascade,multiple,mean,saadi;ameina;abas;wathah;daood
superglue-fingervein,60,AMF-Iris::abeer::6::Left,abeer,1,True,50,cascade,multiple,mean,abeer;israa;elaf;daood;marwan
superglue,60,AMF-Iris::abeer::6::Left,abeer,9,False,50,cascade,multiple,mean,abas;arwa;marwan;israa;zakaria
sgmnet-fingervein,60,AMF-Iris::abeer::6::Left,abeer,1,True,50,cascade,multiple,mean,abeer;arwa;ameer;marwan;saadi
sgmnet,60,AMF-Iris::abeer::6::Left,abeer,1,True,50,cascade,multiple,mean,abeer;arwa;marwan;zakaria;adnan
aspanformer,60,AMF-Iris::abeer::6::Left,abeer,1,True,50,cascade,multiple,mean,abeer;israa;basam;ameer;elaf
deepdetect,60,AMF-Iris::abeer::6::Left,abeer,2,False,50,cascade,multiple,mean,israa;abeer;abas;ameina;wathah
loftr,64,AMF-Iris::zahraa::2::Left,zahraa,1,True,50,cascade,multiple,mean,zahraa;anas;saldar;ahmed;daood
orb-fingervein,64,AMF-Iris::zahraa::2::Left,zahraa,1,True,50,cascade,multiple,mean,zahraa;ameer;aziz;saldar;taha
orb,64,AMF-Iris::zahraa::2::Left,zahraa,1,True,50,cascade,multiple,mean,zahraa;ameina;sirag;mohamad;saadi
sift-fingervein,64,AMF-Iris::zahraa::2::Left,zahraa,1,True,50,cascade,multiple,mean,zahraa;taha;sirag;saldar;abas
sift,64,AMF-Iris::zahraa::2::Left,zahraa,1,True,50,cascade,multiple,mean,zahraa;saadi;ameina;abas;wathah
superglue-fingervein,64,AMF-Iris::zahraa::2::Left,zahraa,1,True,50,cascade,multiple,mean,zahraa;anas;ameer;daood;abas
superglue,64,AMF-Iris::zahraa::2::Left,zahraa,5,False,50,cascade,multiple,mean,saadi;saldar;basam;ameina;zahraa
sgmnet-fingervein,64,AMF-Iris::zahraa::2::Left,zahraa,1,True,50,cascade,multiple,mean,zahraa;basam;anas;saldar;ameina
sgmnet,64,AMF-Iris::zahraa::2::Left,zahraa,1,True,50,cascade,multiple,mean,zahraa;basam;ameina;wathah;aziz
aspanformer,64,AMF-Iris::zahraa::2::Left,zahraa,1,True,50,cascade,multiple,mean,zahraa;ahmed;saadi;mohamad;daood
deepdetect,64,AMF-Iris::zahraa::2::Left,zahraa,3,False,50,cascade,multiple,mean,ahmed;aziz;zahraa;daood;ameer
loftr,68,AMF-Iris::saldar::8::Left,saldar,1,True,50,cascade,multiple,mean,saldar;daood;zaid;israa;asmaa
orb-fingervein,68,AMF-Iris::saldar::8::Left,saldar,1,True,50,cascade,multiple,mean,saldar;abas;daood;asmaa;huda
orb,68,AMF-Iris::saldar::8::Left,saldar,9,False,50,cascade,multiple,mean,arwa;yaseen;israa;assem;saadi
sift-fingervein,68,AMF-Iris::saldar::8::Left,saldar,1,True,50,cascade,multiple,mean,saldar;asmaa;zaid;yaseen;daood
sift,68,AMF-Iris::saldar::8::Left,saldar,1,True,50,cascade,multiple,mean,saldar;yaseen;saadi;ameina;abas
superglue-fingervein,68,AMF-Iris::saldar::8::Left,saldar,2,False,50,cascade,multiple,mean,daood;saldar;saadi;ahmed;israa
superglue,68,AMF-Iris::saldar::8::Left,saldar,11,False,50,cascade,multiple,mean,abas;huda;aadil;hamza;asmaa
sgmnet-fingervein,68,AMF-Iris::saldar::8::Left,saldar,1,True,50,cascade,multiple,mean,saldar;abas;aadil;yaseen;arwa
sgmnet,68,AMF-Iris::saldar::8::Left,saldar,2,False,50,cascade,multiple,mean,arwa;saldar;zaid;abas;huda
aspanformer,68,AMF-Iris::saldar::8::Left,saldar,2,False,50,cascade,multiple,mean,daood;saldar;ahmed;saadi;huda
deepdetect,68,AMF-Iris::saldar::8::Left,saldar,2,False,50,cascade,multiple,mean,zaid;saldar;ameina;daood;ahmed
loftr,72,AMF-Iris::azam::6::Left,azam,1,True,50,cascade,multiple,mean,azam;ameer;abas;basam;baydaa
orb-fingervein,72,AMF-Iris::azam::6::Left,azam,1,True,50,cascade,multiple,mean,azam;basam;baydaa;kareem;kamal
orb,72,AMF-Iris::azam::6::Left,azam,1,True,50,cascade,multiple,mean,azam;rafa;ameina;abas;basam
sift-fingervein,72,AMF-Iris::azam::6::Left,azam,1,True,50,cascade,multiple,mean,azam;kamal;hamza;rasha;ameer
sift,72,AMF-Iris::azam::6::Left,azam,1,True,50,cascade,multiple,mean,azam;israa;kareem;ayad;hamza
superglue-fingervein,72,AMF-Iris::azam::6::Left,azam,1,True,50,cascade,multiple,mean,azam;ayad;israa;ameina;ameer
superglue,72,AMF-Iris::azam::6::Left,azam,2,False,50,cascade,multiple,mean,zakaria;azam;abas;hamza;israa
sgmnet-fingervein,72,AMF-Iris::azam::6::Left,azam,1,True,50,cascade,multiple,mean,azam;baydaa;ameina;abas;ameer
sgmnet,72,AMF-Iris::azam::6::Left,azam,1,True,50,cascade,multiple,mean,azam;abas;adnan;ameina;rasha
aspanformer,72,AMF-Iris::azam::6::Left,azam,1,True,50,cascade,multiple,mean,azam;israa;ameer;ayad;rafa
deepdetect,72,AMF-Iris::azam::6::Left,azam,2,False,50,cascade,multiple,mean,zakaria;azam;kamal;baydaa;rafa
loftr,76,AMF-Iris::zafer::8::Left,zafer,1,True,50,cascade,multiple,mean,zafer;abas;anas;huda;aziz
orb-fingervein,76,AMF-Iris::zafer::8::Left,zafer,1,True,50,cascade,multiple,mean,zafer;aziz;marwan;daood;kamal
orb,76,AMF-Iris::zafer::8::Left,zafer,2,False,50,cascade,multiple,mean,ameina;zafer;basam;wathah;saadi
sift-fingervein,76,AMF-Iris::zafer::8::Left,zafer,1,True,50,cascade,multiple,mean,zafer;abas;khaleel;loai;saadi
sift,76,AMF-Iris::zafer::8::Left,zafer,1,True,50,cascade,multiple,mean,zafer;saadi;ameina;abas;wathah
superglue-fingervein,76,AMF-Iris::zafer::8::Left,zafer,1,True,50,cascade,multiple,mean,zafer;loai;abas;wathah;marwan
superglue,76,AMF-Iris::zafer::8::Left,zafer,10,False,50,cascade,multiple,mean,abas;daood;elaf;marwan;ameina
sgmnet-fingervein,76,AMF-Iris::zafer::8::Left,zafer,1,True,50,cascade,multiple,mean,zafer;marwan;basam;ameina;abas
sgmnet,76,AMF-Iris::zafer::8::Left,zafer,5,False,50,cascade,multiple,mean,marwan;khaleel;basam;huda;zafer
aspanformer,76,AMF-Iris::zafer::8::Left,zafer,1,True,50,cascade,multiple,mean,zafer;anas;kamal;aziz;loai
deepdetect,76,AMF-Iris::zafer::8::Left,zafer,1,True,50,cascade,multiple,mean,zafer;wathah;kamal;huda;elaf
loftr,80,AMF-Iris::marwan::4::Left,marwan,1,True,50,cascade,multiple,mean,marwan;abas;aziz;wisam;saadi
orb-fingervein,80,AMF-Iris::marwan::4::Left,marwan,1,True,50,cascade,multiple,mean,marwan;aziz;saadi;wathah;ameina
orb,80,AMF-Iris::marwan::4::Left,marwan,11,False,50,cascade,multiple,mean,saadi;ameina;abas;wathah;daood
sift-fingervein,80,AMF-Iris::marwan::4::Left,marwan,1,True,50,cascade,multiple,mean,marwan;ameer;aadil;daood;wisam
